sensor	timestamp	valid	voltage	current	power	marker
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300424	1	-3.40282e+38	-3.40282e+38	39.402	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300433	1	-3.40282e+38	-3.40282e+38	39.402	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300448	1	-3.40282e+38	-3.40282e+38	39.402	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300463	1	-3.40282e+38	-3.40282e+38	39.402	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300479	1	-3.40282e+38	-3.40282e+38	39.402	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300495	1	-3.40282e+38	-3.40282e+38	39.402	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300511	1	-3.40282e+38	-3.40282e+38	39.402	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300527	1	-3.40282e+38	-3.40282e+38	39.972	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300543	1	-3.40282e+38	-3.40282e+38	39.972	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300559	1	-3.40282e+38	-3.40282e+38	39.972	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300575	1	-3.40282e+38	-3.40282e+38	39.972	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300591	1	-3.40282e+38	-3.40282e+38	39.972	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300607	1	-3.40282e+38	-3.40282e+38	39.972	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300622	1	-3.40282e+38	-3.40282e+38	44.438	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300637	1	-3.40282e+38	-3.40282e+38	44.438	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300653	1	-3.40282e+38	-3.40282e+38	44.438	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300668	1	-3.40282e+38	-3.40282e+38	44.438	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300683	1	-3.40282e+38	-3.40282e+38	44.438	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300699	1	-3.40282e+38	-3.40282e+38	44.438	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300715	1	-3.40282e+38	-3.40282e+38	44.438	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300731	1	-3.40282e+38	-3.40282e+38	48.98	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300746	1	-3.40282e+38	-3.40282e+38	48.98	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300761	1	-3.40282e+38	-3.40282e+38	48.98	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300776	1	-3.40282e+38	-3.40282e+38	48.98	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300792	1	-3.40282e+38	-3.40282e+38	48.98	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300807	1	-3.40282e+38	-3.40282e+38	48.98	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300822	1	-3.40282e+38	-3.40282e+38	53.574	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300838	1	-3.40282e+38	-3.40282e+38	53.574	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300853	1	-3.40282e+38	-3.40282e+38	53.574	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300868	1	-3.40282e+38	-3.40282e+38	53.574	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300884	1	-3.40282e+38	-3.40282e+38	53.574	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300899	1	-3.40282e+38	-3.40282e+38	53.574	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300915	1	-3.40282e+38	-3.40282e+38	53.574	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300930	1	-3.40282e+38	-3.40282e+38	58.111	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300945	1	-3.40282e+38	-3.40282e+38	58.111	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300961	1	-3.40282e+38	-3.40282e+38	58.111	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300977	1	-3.40282e+38	-3.40282e+38	58.111	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460300993	1	-3.40282e+38	-3.40282e+38	58.111	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301009	1	-3.40282e+38	-3.40282e+38	58.111	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301025	1	-3.40282e+38	-3.40282e+38	62.805	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301041	1	-3.40282e+38	-3.40282e+38	62.805	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301057	1	-3.40282e+38	-3.40282e+38	62.805	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301072	1	-3.40282e+38	-3.40282e+38	62.805	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301087	1	-3.40282e+38	-3.40282e+38	62.805	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301103	1	-3.40282e+38	-3.40282e+38	62.805	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301119	1	-3.40282e+38	-3.40282e+38	62.805	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301134	1	-3.40282e+38	-3.40282e+38	67.503	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301150	1	-3.40282e+38	-3.40282e+38	67.503	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301165	1	-3.40282e+38	-3.40282e+38	67.503	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301181	1	-3.40282e+38	-3.40282e+38	67.503	waiting
